fips,nbrokers,pct_with_misc_records,state,countyname
1003,165,.1212121,"Alabama","Baldwin"
1073,2064,.0910853,"Alabama","Jefferson"
1089,404,.0990099,"Alabama","Madison"
1097,394,.1218274,"Alabama","Mobile"
1101,337,.1186944,"Alabama","Montgomery"
1125,120,.1416667,"Alabama","Tuscaloosa"
2020,362,.1132597,"Alaska","Anchorage"
4013,11032,.080765,"Arizona","Maricopa"
4019,1139,.1316945,"Arizona","Pima"
4025,223,.1390135,"Arizona","Yavapai"
5007,250,.096,"Arkansas","Benton"
5119,1126,.0905861,"Arkansas","Pulaski"
5143,194,.0979381,"Arkansas","Washington"
6001,1439,.0882557,"California","Alameda"
6007,225,.0844444,"California","Butte"
6013,2243,.1012037,"California","Contra Costa"
6017,156,.1089744,"California","El Dorado"
6019,798,.0977444,"California","Fresno"
6029,410,.1414634,"California","Kern"
6037,15969,.0958106,"California","Los Angeles"
6041,650,.1553846,"California","Marin"
6053,397,.1838791,"California","Monterey"
6055,193,.134715,"California","Napa"
6059,8475,.1020649,"California","Orange"
6061,914,.131291,"California","Placer"
6065,1458,.1165981,"California","Riverside"
6067,1722,.0853659,"California","Sacramento"
6071,2006,.0528415,"California","San Bernardino"
6073,6640,.1103916,"California","San Diego"
6075,7884,.0664637,"California","San Francisco"
6077,380,.0921053,"California","San Joaquin"
6079,336,.0892857,"California","San Luis Obispo"
6081,1767,.0780985,"California","San Mateo"
6083,666,.1306306,"California","Santa Barbara"
6085,3367,.0816751,"California","Santa Clara"
6087,205,.0878049,"California","Santa Cruz"
6089,154,.0844156,"California","Shasta"
6095,168,.1130952,"California","Solano"
6097,565,.1292035,"California","Sonoma"
6099,399,.0952381,"California","Stanislaus"
6107,194,.056701,"California","Tulare"
6111,1466,.1425648,"California","Ventura"
8001,355,.0535211,"Colorado","Adams"
8005,4955,.0710394,"Colorado","Arapahoe"
8013,652,.0996933,"Colorado","Boulder"
8014,124,.0887097,"Colorado","Broomfield"
8031,5383,.0540591,"Colorado","Denver"
8035,1556,.0559126,"Colorado","Douglas"
8041,1508,.0709549,"Colorado","El Paso"
8059,629,.073132,"Colorado","Jefferson"
8069,565,.079646,"Colorado","Larimer"
8077,181,.0939227,"Colorado","Mesa"
8123,185,.0756757,"Colorado","Weld"
9001,6098,.0757625,"Connecticut","Fairfield"
9003,4505,.0652608,"Connecticut","Hartford"
9007,211,.0995261,"Connecticut","Middlesex"
9009,1348,.0912463,"Connecticut","New Haven"
9011,282,.0921986,"Connecticut","New London"
10003,1382,.068741,"Delaware","New Castle"
10005,147,.0612245,"Delaware","Sussex"
12001,218,.0825688,"Florida","Alachua"
12005,106,.1698113,"Florida","Bay"
12009,620,.1403226,"Florida","Brevard"
12011,3205,.1413417,"Florida","Broward"
12015,199,.1055276,"Florida","Charlotte"
12021,843,.1672598,"Florida","Collier"
12031,3450,.0678261,"Florida","Duval"
12033,370,.1216216,"Florida","Escambia"
12053,105,.1333333,"Florida","Hernando"
12057,3286,.0949483,"Florida","Hillsborough"
12061,282,.1914894,"Florida","Indian River"
12069,220,.1136364,"Florida","Lake"
12071,853,.1676436,"Florida","Lee"
12073,310,.1193548,"Florida","Leon"
12081,316,.1455696,"Florida","Manatee"
12083,225,.1511111,"Florida","Marion"
12085,359,.183844,"Florida","Martin"
12086,5611,.0935662,"Florida","Miami-Dade"
12091,197,.0964467,"Florida","Okaloosa"
12095,2630,.1030418,"Florida","Orange"
12099,5278,.1811292,"Florida","Palm Beach"
12101,300,.1333333,"Florida","Pasco"
12103,3258,.0911602,"Florida","Pinellas"
12105,406,.1330049,"Florida","Polk"
12109,381,.144357,"Florida","St Johns"
12111,109,.1284404,"Florida","St Lucie"
12115,1039,.1626564,"Florida","Sarasota"
12117,971,.0741504,"Florida","Seminole"
12119,136,.1323529,"Florida","Sumter"
12127,437,.1258581,"Florida","Volusia"
13021,284,.1126761,"Georgia","Bibb"
13051,354,.1242938,"Georgia","Chatham"
13057,194,.0670103,"Georgia","Cherokee"
13059,162,.0802469,"Georgia","Clarke"
13067,510,.0901961,"Georgia","Cobb"
13089,251,.0836653,"Georgia","De Kalb"
13113,141,.0921986,"Georgia","Fayette"
13117,123,.1138211,"Georgia","Forsyth"
13121,7491,.0893072,"Georgia","Fulton"
13135,1092,.0760073,"Georgia","Gwinnett"
13139,119,.1008403,"Georgia","Hall"
13151,144,.1527778,"Georgia","Henry"
13215,253,.0948617,"Georgia","Muscogee"
13245,223,.0762332,"Georgia","Richmond"
15003,1313,.0693069,"Hawaii","Honolulu"
16001,727,.0962861,"Idaho","Ada"
16019,158,.056962,"Idaho","Bonneville"
16055,182,.1043956,"Idaho","Kootenai"
17001,100,.08,"Illinois","Adams"
17019,247,.0809717,"Illinois","Champaign"
17031,18620,.0626208,"Illinois","Cook"
17043,4214,.0697674,"Illinois","Du Page"
17089,605,.0743802,"Illinois","Kane"
17097,1795,.0924791,"Illinois","Lake"
17111,339,.0973451,"Illinois","McHenry"
17113,12979,.0407581,"Illinois","Mclean"
17115,122,.0409836,"Illinois","Macon"
17119,287,.0627178,"Illinois","Madison"
17143,339,.1032448,"Illinois","Peoria"
17161,182,.043956,"Illinois","Rock Island"
17163,311,.1028939,"Illinois","St Clair"
17167,508,.0728346,"Illinois","Sangamon"
17179,120,.0583333,"Illinois","Tazewell"
17197,496,.0927419,"Illinois","Will"
17201,393,.0737913,"Illinois","Winnebago"
18003,1355,.0487085,"Indiana","Allen"
18039,163,.0552147,"Indiana","Elkhart"
18043,119,.0420168,"Indiana","Floyd"
18057,532,.0789474,"Indiana","Hamilton"
18063,108,.0462963,"Indiana","Hendricks"
18081,156,.0641026,"Indiana","Johnson"
18089,470,.0893617,"Indiana","Lake"
18097,3181,.0760767,"Indiana","Marion"
18105,127,.0787402,"Indiana","Monroe"
18127,180,.0722222,"Indiana","Porter"
18141,336,.0803571,"Indiana","St Joseph"
18157,153,.0653595,"Indiana","Tippecanoe"
18163,312,.0641026,"Indiana","Vanderburgh"
19013,290,.0551724,"Iowa","Black Hawk"
19017,203,.044335,"Iowa","Bremer"
19033,112,.0267857,"Iowa","Cerro Gordo"
19061,353,.0396601,"Iowa","Dubuque"
19101,280,.0571429,"Iowa","Jefferson"
19103,183,.0819672,"Iowa","Johnson"
19113,727,.0701513,"Iowa","Linn"
19153,3114,.0571612,"Iowa","Polk"
19163,392,.0688775,"Iowa","Scott"
19193,135,.0962963,"Iowa","Woodbury"
20045,152,.0921053,"Kansas","Douglas"
20091,2980,.0785235,"Kansas","Johnson"
20169,112,.0267857,"Kansas","Saline"
20173,841,.1022592,"Kansas","Sedgwick"
20177,537,.0614525,"Kansas","Shawnee"
21015,141,.0992908,"Kentucky","Boone"
21067,588,.0765306,"Kentucky","Fayette"
21111,1624,.1114532,"Kentucky","Jefferson"
21117,1991,.0286288,"Kentucky","Kenton"
22017,394,.0685279,"Louisiana","Caddo"
22019,184,.1086956,"Louisiana","Calcasieu"
22033,790,.0810127,"Louisiana","East Baton Rouge"
22051,633,.0647709,"Louisiana","Jefferson"
22055,416,.0745192,"Louisiana","Lafayette"
22071,762,.1036745,"Louisiana","Orleans"
22073,135,.1481481,"Louisiana","Ouachita"
22103,382,.0942408,"Louisiana","St Tammany"
23005,890,.0741573,"Maine","Cumberland"
23019,140,.0785714,"Maine","Penobscot"
23031,103,.1165049,"Maine","York"
24003,762,.1049869,"Maryland","Anne Arundel"
24005,2250,.06,"Maryland","Baltimore"
24013,131,.0687023,"Maryland","Carroll"
24021,268,.0932836,"Maryland","Frederick"
24025,197,.0812183,"Maryland","Harford"
24027,606,.0742574,"Maryland","Howard"
24031,2335,.0788009,"Maryland","Montgomery"
24033,307,.0749186,"Maryland","Prince Georges"
24043,122,.0983607,"Maryland","Washington"
24510,2067,.0507983,"Maryland","Baltimore City"
25001,333,.1561562,"Massachusetts","Barnstable"
25003,113,.1061947,"Massachusetts","Berkshire"
25005,293,.0989761,"Massachusetts","Bristol"
25009,1190,.0991597,"Massachusetts","Essex"
25013,940,.0829787,"Massachusetts","Hampden"
25015,123,.1219512,"Massachusetts","Hampshire"
25017,2397,.0742595,"Massachusetts","Middlesex"
25021,1767,.0616865,"Massachusetts","Norfolk"
25023,738,.101626,"Massachusetts","Plymouth"
25025,9054,.048266,"Massachusetts","Suffolk"
25027,980,.0714286,"Massachusetts","Worcester"
26021,119,.092437,"Michigan","Berrien"
26049,443,.0767494,"Michigan","Genesee"
26055,252,.0793651,"Michigan","Grand Traverse"
26065,922,.0553145,"Michigan","Ingham"
26075,100,.09,"Michigan","Jackson"
26077,429,.1048951,"Michigan","Kalamazoo"
26081,1483,.0809171,"Michigan","Kent"
26093,171,.1169591,"Michigan","Livingston"
26099,730,.0931507,"Michigan","Macomb"
26111,108,.0925926,"Michigan","Midland"
26121,140,.0928571,"Michigan","Muskegon"
26125,4690,.1057569,"Michigan","Oakland"
26139,312,.0352564,"Michigan","Ottawa"
26145,287,.1045296,"Michigan","Saginaw"
26147,104,.0480769,"Michigan","St Clair"
26161,546,.0860806,"Michigan","Washtenaw"
26163,1345,.1055762,"Michigan","Wayne"
27003,177,.1242938,"Minnesota","Anoka"
27013,142,.0633803,"Minnesota","Blue Earth"
27037,519,.0597303,"Minnesota","Dakota"
27053,9407,.0602743,"Minnesota","Hennepin"
27109,292,.0650685,"Minnesota","Olmsted"
27123,1470,.0659864,"Minnesota","Ramsey"
27137,287,.0696864,"Minnesota","St Louis"
27139,108,.0555556,"Minnesota","Scott"
27145,491,.0325866,"Minnesota","Stearns"
27163,600,.0566667,"Minnesota","Washington"
28035,135,.0666667,"Mississippi","Forrest"
28047,128,.0859375,"Mississippi","Harrison"
28049,379,.0817942,"Mississippi","Hinds"
28089,311,.14791,"Mississippi","Madison"
29019,159,.0377358,"Missouri","Boone"
29031,109,.0733945,"Missouri","Cape Girardeau"
29047,145,.0896552,"Missouri","Clay"
29051,106,.0566038,"Missouri","Cole"
29077,458,.0786026,"Missouri","Greene"
29095,1899,.056872,"Missouri","Jackson"
29097,127,.1023622,"Missouri","Jasper"
29183,359,.1002785,"Missouri","St Charles"
29189,2211,.1090005,"Missouri","St Louis"
29510,7113,.0418951,"Missouri","St Louis City"
30013,203,.0886699,"Montana","Cascade"
30029,103,.1262136,"Montana","Flathead"
30031,176,.1022727,"Montana","Gallatin"
30063,193,.0829016,"Montana","Missoula"
30111,274,.0985401,"Montana","Yellowstone"
31055,3850,.0568831,"Nebraska","Douglas"
31079,190,.0578947,"Nebraska","Hall"
31109,986,.0638945,"Nebraska","Lancaster"
31153,326,.0552147,"Nebraska","Sarpy"
32003,1906,.1159496,"Nevada","Clark"
32031,591,.1387479,"Nevada","Washoe"
33011,2158,.0528267,"New Hampshire","Hillsborough"
33013,370,.0486486,"New Hampshire","Merrimack"
33015,532,.0902256,"New Hampshire","Rockingham"
34001,312,.1634615,"New Jersey","Atlantic"
34003,2699,.1174509,"New Jersey","Bergen"
34005,1080,.1138889,"New Jersey","Burlington"
34007,511,.0978474,"New Jersey","Camden"
34013,2974,.0726295,"New Jersey","Essex"
34015,128,.078125,"New Jersey","Gloucester"
34017,5370,.0426443,"New Jersey","Hudson"
34019,228,.0964912,"New Jersey","Hunterdon"
34021,2424,.0532178,"New Jersey","Mercer"
34023,1782,.0813693,"New Jersey","Middlesex"
34025,2389,.1590624,"New Jersey","Monmouth"
34027,3037,.1159039,"New Jersey","Morris"
34029,460,.1391304,"New Jersey","Ocean"
34031,378,.1031746,"New Jersey","Passaic"
34035,1069,.101029,"New Jersey","Somerset"
34037,112,.0714286,"New Jersey","Sussex"
34039,826,.1113801,"New Jersey","Union"
35001,831,.0962696,"New Mexico","Bernalillo"
35013,112,.0892857,"New Mexico","Dona Ana"
35049,302,.0993377,"New Mexico","Santa Fe"
36001,1405,.0818505,"New York","Albany"
36005,226,.0309735,"New York","Bronx"
36007,294,.1020408,"New York","Broome"
36013,120,.15,"New York","Chautauqua"
36027,387,.1033592,"New York","Dutchess"
36029,2188,.0918647,"New York","Erie"
36047,1373,.0648216,"New York","Kings"
36053,131,.3206107,"New York","Madison"
36055,2053,.0828056,"New York","Monroe"
36059,4832,.1541805,"New York","Nassau"
36061,89704,.0384933,"New York","New York"
36063,151,.0529801,"New York","Niagara"
36065,257,.0894942,"New York","Oneida"
36067,1325,.0935849,"New York","Onondaga"
36069,106,.1037736,"New York","Ontario"
36071,396,.0934343,"New York","Orange"
36081,1478,.0588633,"New York","Queens"
36083,148,.0810811,"New York","Rensselaer"
36085,436,.1766055,"New York","Richmond"
36087,461,.1214751,"New York","Rockland"
36091,419,.0644391,"New York","Saratoga"
36103,4136,.1728723,"New York","Suffolk"
36111,176,.125,"New York","Ulster"
36119,4680,.0794872,"New York","Westchester"
37021,338,.0798817,"North Carolina","Buncombe"
37025,100,.09,"North Carolina","Cabarrus"
37035,162,.0493827,"North Carolina","Catawba"
37051,166,.0542169,"North Carolina","Cumberland"
37063,669,.0478326,"North Carolina","Durham"
37067,614,.0765472,"North Carolina","Forsyth"
37081,1052,.0665399,"North Carolina","Guilford"
37089,113,.1415929,"North Carolina","Henderson"
37097,119,.1176471,"North Carolina","Iredell"
37119,8564,.0527791,"North Carolina","Mecklenburg"
37125,100,.12,"North Carolina","Moore"
37129,385,.1298701,"North Carolina","New Hanover"
37135,237,.0801688,"North Carolina","Orange"
37147,151,.0662252,"North Carolina","Pitt"
37183,2138,.0724977,"North Carolina","Wake"
38015,198,.0808081,"North Dakota","Burleigh"
38017,369,.1138211,"North Dakota","Cass"
38101,139,.1007194,"North Dakota","Ward"
39003,146,.0479452,"Ohio","Allen"
39017,328,.070122,"Ohio","Butler"
39025,104,.0576923,"Ohio","Clermont"
39035,3959,.082344,"Ohio","Cuyahoga"
39041,427,.0444965,"Ohio","Delaware"
39049,5144,.0478227,"Ohio","Franklin"
39057,224,.0491071,"Ohio","Greene"
39061,3200,.0634375,"Ohio","Hamilton"
39063,108,.0462963,"Ohio","Hancock"
39085,295,.061017,"Ohio","Lake"
39089,108,.0648148,"Ohio","Licking"
39093,160,.08125,"Ohio","Lorain"
39095,790,.0835443,"Ohio","Lucas"
39099,418,.0837321,"Ohio","Mahoning"
39103,162,.0555556,"Ohio","Medina"
39113,834,.0851319,"Ohio","Montgomery"
39139,116,.112069,"Ohio","Richland"
39151,505,.0891089,"Ohio","Stark"
39153,1228,.0773616,"Ohio","Summit"
39155,109,.0733945,"Ohio","Trumbull"
39165,171,.0701754,"Ohio","Warren"
39173,188,.1170213,"Ohio","Wood"
40027,154,.0584416,"Oklahoma","Cleveland"
40109,1692,.0744681,"Oklahoma","Oklahoma"
40143,1277,.0798747,"Oklahoma","Tulsa"
41005,783,.0983397,"Oregon","Clackamas"
41017,291,.1030928,"Oregon","Deschutes"
41029,266,.1052632,"Oregon","Jackson"
41039,449,.091314,"Oregon","Lane"
41047,335,.0716418,"Oregon","Marion"
41051,2046,.0943304,"Oregon","Multnomah"
41067,458,.0742358,"Oregon","Washington"
42003,3573,.0696893,"Pennsylvania","Allegheny"
42007,118,.0677966,"Pennsylvania","Beaver"
42011,468,.0854701,"Pennsylvania","Berks"
42013,173,.1098266,"Pennsylvania","Blair"
42017,1207,.101077,"Pennsylvania","Bucks"
42019,253,.083004,"Pennsylvania","Butler"
42021,211,.056872,"Pennsylvania","Cambria"
42027,228,.0394737,"Pennsylvania","Centre"
42029,5398,.0494628,"Pennsylvania","Chester"
42041,572,.1066434,"Pennsylvania","Cumberland"
42043,371,.0512129,"Pennsylvania","Dauphin"
42045,615,.1333333,"Pennsylvania","Delaware"
42049,294,.1020408,"Pennsylvania","Erie"
42055,114,.0263158,"Pennsylvania","Franklin"
42069,473,.0909091,"Pennsylvania","Lackawanna"
42071,681,.0851689,"Pennsylvania","Lancaster"
42075,101,.0891089,"Pennsylvania","Lebanon"
42077,973,.0853032,"Pennsylvania","Lehigh"
42079,320,.128125,"Pennsylvania","Luzerne"
42081,153,.0784314,"Pennsylvania","Lycoming"
42085,126,.0634921,"Pennsylvania","Mercer"
42089,117,.0769231,"Pennsylvania","Monroe"
42091,4210,.0741093,"Pennsylvania","Montgomery"
42095,131,.0839695,"Pennsylvania","Northampton"
42101,2419,.0694502,"Pennsylvania","Philadelphia"
42125,370,.0837838,"Pennsylvania","Washington"
42129,426,.0892019,"Pennsylvania","Westmoreland"
42133,456,.0789474,"Pennsylvania","York"
44003,501,.0598802,"Rhode Island","Kent"
44007,2880,.0420139,"Rhode Island","Providence"
44009,104,.1057692,"Rhode Island","Washington"
45013,224,.1517857,"South Carolina","Beaufort"
45019,791,.0960809,"South Carolina","Charleston"
45045,798,.1065163,"South Carolina","Greenville"
45051,219,.1232877,"South Carolina","Horry"
45063,131,.1145038,"South Carolina","Lexington"
45079,711,.0872011,"South Carolina","Richland"
45083,179,.0614525,"South Carolina","Spartanburg"
45091,115,.0695652,"South Carolina","York"
46099,567,.1040564,"South Dakota","Minnehaha"
46103,161,.0745342,"South Dakota","Pennington"
47037,1165,.0935622,"Tennessee","Davidson"
47065,516,.1182171,"Tennessee","Hamilton"
47093,822,.0851582,"Tennessee","Knox"
47113,167,.1017964,"Tennessee","Madison"
47149,161,.0310559,"Tennessee","Rutherford"
47157,2442,.0864046,"Tennessee","Shelby"
47163,154,.1298701,"Tennessee","Sullivan"
47165,112,.0982143,"Tennessee","Sumner"
47179,161,.0745342,"Tennessee","Washington"
47187,1134,.0696649,"Tennessee","Williamson"
48027,170,.0470588,"Texas","Bell"
48029,3193,.0638898,"Texas","Bexar"
48039,168,.0654762,"Texas","Brazoria"
48041,157,.0828025,"Texas","Brazos"
48061,120,.125,"Texas","Cameron"
48085,1459,.1000685,"Texas","Collin"
48113,6983,.086639,"Texas","Dallas"
48121,2895,.0438687,"Texas","Denton"
48141,437,.1167048,"Texas","El Paso"
48157,492,.0955285,"Texas","Fort Bend"
48167,218,.059633,"Texas","Galveston"
48183,153,.0718954,"Texas","Gregg"
48201,9429,.0777389,"Texas","Harris"
48215,287,.0627178,"Texas","Hidalgo"
48245,274,.1131387,"Texas","Jefferson"
48259,121,.0826446,"Texas","Kendall"
48303,315,.0793651,"Texas","Lubbock"
48309,176,.1022727,"Texas","McLennan"
48329,143,.0699301,"Texas","Midland"
48339,640,.1171875,"Texas","Montgomery"
48355,282,.0851064,"Texas","Nueces"
48381,252,.1269841,"Texas","Randall"
48423,312,.0961538,"Texas","Smith"
48439,3435,.0812227,"Texas","Tarrant"
48441,125,.064,"Texas","Taylor"
48453,3233,.079802,"Texas","Travis"
48485,118,.0423729,"Texas","Wichita"
48491,298,.1208054,"Texas","Williamson"
49011,277,.0722022,"Utah","Davis"
49035,4034,.0592464,"Utah","Salt Lake"
49049,671,.0655738,"Utah","Utah"
49053,154,.0714286,"Utah","Washington"
49057,154,.0649351,"Utah","Weber"
50007,427,.1124122,"Vermont","Chittenden"
50023,197,.0304569,"Vermont","Washington"
51003,260,.0653846,"Virginia","Albemarle"
51013,302,.0430464,"Virginia","Arlington"
51041,354,.0649718,"Virginia","Chesterfield"
51059,3047,.0800788,"Virginia","Fairfax"
51087,2568,.0716511,"Virginia","Henrico"
51107,233,.1459228,"Virginia","Loudoun"
51165,144,.0763889,"Virginia","Rockingham"
51177,130,.0692308,"Virginia","Spotsylvania"
51550,107,.1121495,"Virginia","Chesapeake City"
51680,153,.0915033,"Virginia","Lynchburg City"
51700,188,.0957447,"Virginia","Newport News City"
51710,291,.1134021,"Virginia","Norfolk City"
51770,402,.1044776,"Virginia","Roanoke City"
51810,734,.1021798,"Virginia","Virginia Beach City"
51830,196,.0765306,"Virginia","Williamsburg City"
53005,206,.1067961,"Washington","Benton"
53007,105,.0571429,"Washington","Chelan"
53011,473,.0824524,"Washington","Clark"
53033,5151,.0846438,"Washington","King"
53035,203,.1034483,"Washington","Kitsap"
53053,750,.0826667,"Washington","Pierce"
53057,116,.0689655,"Washington","Skagit"
53061,574,.087108,"Washington","Snohomish"
53063,726,.0785124,"Washington","Spokane"
53067,217,.0691244,"Washington","Thurston"
53073,264,.1098485,"Washington","Whatcom"
53077,145,.0758621,"Washington","Yakima"
54011,131,.129771,"West Virginia","Cabell"
54039,270,.1407407,"West Virginia","Kanawha"
55009,594,.0858586,"Wisconsin","Brown"
55025,1222,.0769231,"Wisconsin","Dane"
55035,190,.1052632,"Wisconsin","Eau Claire"
55039,100,.06,"Wisconsin","Fond Du Lac"
55063,184,.0597826,"Wisconsin","La Crosse"
55073,192,.09375,"Wisconsin","Marathon"
55079,3302,.0439128,"Wisconsin","Milwaukee"
55087,907,.0606395,"Wisconsin","Outagamie"
55089,288,.1319444,"Wisconsin","Ozaukee"
55097,103,.0679612,"Wisconsin","Portage"
55101,154,.0909091,"Wisconsin","Racine"
55105,134,.0746269,"Wisconsin","Rock"
55117,148,.0878378,"Wisconsin","Sheboygan"
55131,172,.0872093,"Wisconsin","Washington"
55133,1505,.0950166,"Wisconsin","Waukesha"
55139,214,.0747664,"Wisconsin","Winnebago"
56021,105,.0571429,"Wyoming","Laramie"
56025,115,.0956522,"Wyoming","Natrona"
72061,126,.1904762,"Puerto Rico","Guaynabo"
72127,632,.1455696,"Puerto Rico","San Juan"
